,codes,airports,cities,countries,airports - cities
2970,NTMN,Hiva Oa-Atuona Airport,Hiva Oa Island,PF,Hiva Oa-Atuona Airport - Hiva Oa Island
2971,NTTB,Bora Bora Airport,Motu Mute,PF,Bora Bora Airport - Motu Mute
2972,NTTG,Rangiroa Airport,,PF,Rangiroa Airport - nan
2973,NTTH,Huahine-Fare Airport,Fare,PF,Huahine-Fare Airport - Fare
2974,NTTM,Moorea Temae Airport,Moorea-Maiao,PF,Moorea Temae Airport - Moorea-Maiao
2975,NTTO,Hao Airport,Otepa,PF,Hao Airport - Otepa
2976,NTTP,Maupiti Airport,,PF,Maupiti Airport - nan
2977,NTTR,Raiatea Airport,Uturoa,PF,Raiatea Airport - Uturoa
2978,NVSQ,Gaua Island Airport,Gaua Island,VU,Gaua Island Airport - Gaua Island
2979,NVSS,Santo Pekoa International Airport,Luganville,VU,Santo Pekoa International Airport - Luganville
2980,NVVV,Bauerfield International Airport,Port Vila,VU,Bauerfield International Airport - Port Vila
2981,NVVW,Tanna Airport,,VU,Tanna Airport - nan
2982,NWWA,Tiga Airport,Tiga,NC,Tiga Airport - Tiga
2983,NWWC,Île Art - Waala Airport,Waala,NC,Île Art - Waala Airport - Waala
2984,NWWD,Koné Airport,Koné,NC,Koné Airport - Koné
2985,NWWE,Île des Pins Airport,Île des Pins,NC,Île des Pins Airport - Île des Pins
2986,NWWK,Koumac Airport,Koumac,NC,Koumac Airport - Koumac
2987,NWWL,Lifou Airport,Lifou,NC,Lifou Airport - Lifou
2988,NWWM,Nouméa Magenta Airport,Nouméa,NC,Nouméa Magenta Airport - Nouméa
2989,NWWR,Maré Airport,Maré,NC,Maré Airport - Maré
2990,NWWU,Touho Airport,Touho,NC,Touho Airport - Touho
2991,NWWV,Ouvéa Airport,Ouvéa,NC,Ouvéa Airport - Ouvéa
2992,NWWW,La Tontouta International Airport,Nouméa (La Tontouta),NC,La Tontouta International Airport - Nouméa (La Tontouta)
2993,NZAA,Auckland International Airport,Auckland,NZ,Auckland International Airport - Auckland
2994,NZAP,Taupo Airport,Taupo,NZ,Taupo Airport - Taupo
2995,NZAR,Ardmore Airport,Manurewa,NZ,Ardmore Airport - Manurewa
2996,NZCH,Christchurch International Airport,Christchurch,NZ,Christchurch International Airport - Christchurch
2997,NZCI,Chatham Islands / Tuuta Airport,Te One,NZ,Chatham Islands / Tuuta Airport - Te One
2998,NZDN,Dunedin International Airport,Dunedin,NZ,Dunedin International Airport - Dunedin
2999,NZGS,Gisborne Airport,Gisborne,NZ,Gisborne Airport - Gisborne
3000,NZGT,Glentanner Airport,Glentanner Station,NZ,Glentanner Airport - Glentanner Station
3001,NZHK,Hokitika Airfield,,NZ,Hokitika Airfield - nan
3002,NZHN,Hamilton International Airport,Hamilton,NZ,Hamilton International Airport - Hamilton
3003,NZIR,McMurdo Station Ice Runway,McMurdo Station,AQ,McMurdo Station Ice Runway - McMurdo Station
3004,NZKK,Kerikeri Airport,Kerikeri,NZ,Kerikeri Airport - Kerikeri
3005,NZKT,Kaitaia Airport,Kaitaia,NZ,Kaitaia Airport - Kaitaia
3006,NZLX,Alexandra Aerodrome,Alexandra,NZ,Alexandra Aerodrome - Alexandra
3007,NZMC,Mount Cook Airport,,NZ,Mount Cook Airport - nan
3008,NZMO,Manapouri Airport,,NZ,Manapouri Airport - nan
3009,NZMS,Hood Airport,Masterton,NZ,Hood Airport - Masterton
3010,NZNP,New Plymouth Airport,New Plymouth,NZ,New Plymouth Airport - New Plymouth
3011,NZNR,Hawke's Bay Airport,Napier,NZ,Hawke's Bay Airport - Napier
3012,NZNS,Nelson Airport,Nelson,NZ,Nelson Airport - Nelson
3013,NZNV,Invercargill Airport,Invercargill,NZ,Invercargill Airport - Invercargill
3014,NZOH,RNZAF Base Ohakea,,NZ,RNZAF Base Ohakea - nan
3015,NZOU,Oamaru Airport,,NZ,Oamaru Airport - nan
3016,NZPG,McMurdo Station Pegasus Field,McMurdo Station,AQ,McMurdo Station Pegasus Field - McMurdo Station
3017,NZPM,Palmerston North Airport,,NZ,Palmerston North Airport - nan
3018,NZPP,Paraparaumu Airport,,NZ,Paraparaumu Airport - nan
3019,NZQN,Queenstown International Airport,Queenstown,NZ,Queenstown International Airport - Queenstown
3020,NZRO,Rotorua Regional Airport,Rotorua,NZ,Rotorua Regional Airport - Rotorua
3021,NZSP,South Pole Station Airport,Amundsen-Scott South Pole Station,AQ,South Pole Station Airport - Amundsen-Scott South Pole Station
3022,NZTG,Tauranga Airport,Tauranga,NZ,Tauranga Airport - Tauranga
3023,NZTU,Timaru Airport,,NZ,Timaru Airport - nan
3024,NZUK,Pukaki Airport,Twitzel,NZ,Pukaki Airport - Twitzel
3025,NZWB,Woodbourne Airport,Blenheim,NZ,Woodbourne Airport - Blenheim
3026,NZWD,Williams Field,McMurdo Station,AQ,Williams Field - McMurdo Station
3027,NZWF,Wanaka Airport,Wanaka,NZ,Wanaka Airport - Wanaka
3028,NZWK,Whakatane Airport,,NZ,Whakatane Airport - nan
3029,NZWN,Wellington International Airport,Wellington,NZ,Wellington International Airport - Wellington
3030,NZWO,Wairoa Airport,Wairoa,NZ,Wairoa Airport - Wairoa
3031,NZWP,RNZAF Base Auckland-Whenuapai,,NZ,RNZAF Base Auckland-Whenuapai - nan
3032,NZWR,Whangarei Airport,,NZ,Whangarei Airport - nan
3033,NZWS,Westport Airport,,NZ,Westport Airport - nan
3034,NZWU,Wanganui Airport,Wanganui,NZ,Wanganui Airport - Wanganui
3035,OAHR,Herat - Khwaja Abdullah Ansari International Airport,Guzara,AF,Herat - Khwaja Abdullah Ansari International Airport - Guzara
3036,OAIX,Bagram Airfield,Bagram,AF,Bagram Airfield - Bagram
3037,OAJL,Jalalabad Airport,Jalalabad,AF,Jalalabad Airport - Jalalabad
3038,OAKB,Kabul International Airport,Kabul,AF,Kabul International Airport - Kabul
3039,OAKN,Ahmad Shah Baba International Airport / Kandahar Airfield,Khvoshab,AF,Ahmad Shah Baba International Airport / Kandahar Airfield - Khvoshab
3040,OAMN,Maymana Zahiraddin Faryabi Airport,Maymana,AF,Maymana Zahiraddin Faryabi Airport - Maymana
3041,OAMS,Mazar-i-Sharif International Airport,Mazar-i-Sharif,AF,Mazar-i-Sharif International Airport - Mazar-i-Sharif
3042,OAUZ,Kunduz Airport,Kunduz,AF,Kunduz Airport - Kunduz
3043,OBBI,Bahrain International Airport,Manama,BH,Bahrain International Airport - Manama
3044,OBBS,Sheik Isa Air Base,Sitrah,BH,Sheik Isa Air Base - Sitrah
3045,OEAB,Abha International Airport,Abha,SA,Abha International Airport - Abha
3046,OEAH,Al-Ahsa International Airport,Hofuf,SA,Al-Ahsa International Airport - Hofuf
3047,OEBA,King Saud Bin Abdulaziz (Al Baha) Airport,Al Aqiq,SA,King Saud Bin Abdulaziz (Al Baha) Airport - Al Aqiq
3048,OEBH,Bisha Airport,,SA,Bisha Airport - nan
3049,OEDF,King Fahd International Airport,Ad Dammam,SA,King Fahd International Airport - Ad Dammam
3050,OEDM,King Salman Abdulaziz Airport,Dawadmi,SA,King Salman Abdulaziz Airport - Dawadmi
3051,OEDR,King Abdulaziz Air Base,Dhahran,SA,King Abdulaziz Air Base - Dhahran
3052,OEGN,Jizan Regional Airport / King Abdullah bin Abdulaziz Airport,Jizan,SA,Jizan Regional Airport / King Abdullah bin Abdulaziz Airport - Jizan
3053,OEGS,Gassim Airport,,SA,Gassim Airport - nan
3054,OEGT,Gurayat Domestic Airport,Gurayat,SA,Gurayat Domestic Airport - Gurayat
3055,OEHL,Ha'il Airport,Ha'il,SA,Ha'il Airport - Ha'il
3056,OEJB,Jubail Airport,Jubail,SA,Jubail Airport - Jubail
3057,OEJF,King Faisal Naval Base,Jeddah,SA,King Faisal Naval Base - Jeddah
3058,OEJN,King Abdulaziz International Airport,Jeddah,SA,King Abdulaziz International Airport - Jeddah
3059,OEKK,King Khaled Military City Airport,King Khaled Military City,SA,King Khaled Military City Airport - King Khaled Military City
3060,OEKM,King Khalid Air Base,Khamis Mushait,SA,King Khalid Air Base - Khamis Mushait
3061,OEMA,Prince Mohammad Bin Abdulaziz Airport,Medina,SA,Prince Mohammad Bin Abdulaziz Airport - Medina
3062,OENG,Najran Domestic Airport,Najran,SA,Najran Domestic Airport - Najran
3063,OENN,Neom Bay Airport,Neom,SA,Neom Bay Airport - Neom
3064,OEPA,Al Qaisumah/Hafr Al Batin Airport,Qaisumah,SA,Al Qaisumah/Hafr Al Batin Airport - Qaisumah
3065,OEPS,Prince Sultan Air Base,,SA,Prince Sultan Air Base - nan
3066,OERF,Rafha Domestic Airport,Rafha,SA,Rafha Domestic Airport - Rafha
3067,OERK,King Khaled International Airport,Riyadh,SA,King Khaled International Airport - Riyadh
3068,OERM,Ras Mishab Airport,Al Mishab,SA,Ras Mishab Airport - Al Mishab
3069,OERR,Arar Domestic Airport,Arar,SA,Arar Domestic Airport - Arar
3070,OERT,Ras Tanura Airport,Ras Tanura,SA,Ras Tanura Airport - Ras Tanura
3071,OERY,Riyadh Air Base,Riyadh,SA,Riyadh Air Base - Riyadh
3072,OESH,Sharurah Domestic Airport,Sharurah,SA,Sharurah Domestic Airport - Sharurah
3073,OESK,Al-Jawf Domestic Airport,Al-Jawf,SA,Al-Jawf Domestic Airport - Al-Jawf
3074,OETB,Tabuk Airport,Tabuk,SA,Tabuk Airport - Tabuk
3075,OETF,Ta’if Regional Airport,Ta’if,SA,Ta’if Regional Airport - Ta’if
3076,OETN,Ras Tanajib Airport,As Saffaniyah,SA,Ras Tanajib Airport - As Saffaniyah
3077,OETR,Turaif Domestic Airport,Turaif,SA,Turaif Domestic Airport - Turaif
3078,OEWD,Wadi Al Dawasir Domestic Airport,Wadi Al Dawasir,SA,Wadi Al Dawasir Domestic Airport - Wadi Al Dawasir
3079,OEWJ,Al Wajh Domestic Airport,Al Wajh,SA,Al Wajh Domestic Airport - Al Wajh
3080,OEYN,Yanbu Airport / Prince Abdul Mohsin bin Abdulaziz international Airport,Yanbu,SA,Yanbu Airport / Prince Abdul Mohsin bin Abdulaziz international Airport - Yanbu
3081,OIAA,Abadan Airport,Abadan,IR,Abadan Airport - Abadan
3082,OIAD,Dezful Airport,Dezful,IR,Dezful Airport - Dezful
3083,OIAG,Aghajari Airport,Aghajari,IR,Aghajari Airport - Aghajari
3084,OIAH,Gachsaran Airport,Gachsaran,IR,Gachsaran Airport - Gachsaran
3085,OIAI,Shahid Asiyaee Airport,Masjed Soleyman,IR,Shahid Asiyaee Airport - Masjed Soleyman
3086,OIAM,Mahshahr Airport,Mahshahr,IR,Mahshahr Airport - Mahshahr
3087,OIAW,Lieutenant General Qasem Soleimani International Airport,Ahvaz,IR,Lieutenant General Qasem Soleimani International Airport - Ahvaz
3088,OIBA,Abu Musa Island Airport,Abu Musa,IR,Abu Musa Island Airport - Abu Musa
3089,OIBB,Bushehr Airport,Bushehr,IR,Bushehr Airport - Bushehr
3090,OIBJ,Jam Airport,Kangan,IR,Jam Airport - Kangan
3091,OIBK,Kish International Airport,Kish Island,IR,Kish International Airport - Kish Island
3092,OIBL,Bandar Lengeh International Airport,Bandar Lengeh,IR,Bandar Lengeh International Airport - Bandar Lengeh
3093,OIBP,Persian Gulf International Airport,Asalouyeh,IR,Persian Gulf International Airport - Asalouyeh
3094,OIBQ,Khark Island Airport,Khark,IR,Khark Island Airport - Khark
3095,OIBS,Siri Airport,Siri,IR,Siri Airport - Siri
3096,OIBV,Lavan Island Airport,,IR,Lavan Island Airport - nan
3097,OICC,Shahid Ashrafi Esfahani Airport,Kermanshah,IR,Shahid Ashrafi Esfahani Airport - Kermanshah
3098,OICI,Ilam Airport,Ilam,IR,Ilam Airport - Ilam
3099,OICK,Khoram Abad Airport,,IR,Khoram Abad Airport - nan
3100,OICS,Sanandaj Airport,,IR,Sanandaj Airport - nan
3101,OIFK,Kashan Airport,Kashan,IR,Kashan Airport - Kashan
3102,OIFM,Esfahan Shahid Beheshti International Airport,Isfahan,IR,Esfahan Shahid Beheshti International Airport - Isfahan
3103,OIFP,Badr Air Base,Esfahan,IR,Badr Air Base - Esfahan
3104,OIFS,Shahrekord Airport,Shahrekord,IR,Shahrekord Airport - Shahrekord
3105,OIGG,Sardar-e-Jangal Airport,Rasht,IR,Sardar-e-Jangal Airport - Rasht
3106,OIHH,Hamadan Airport,Hamadan,IR,Hamadan Airport - Hamadan
3107,OIHS,Hamadan Air Base,Hamadan,IR,Hamadan Air Base - Hamadan
3108,OIIE,Imam Khomeini International Airport,Tehran,IR,Imam Khomeini International Airport - Tehran
3109,OIII,Mehrabad International Airport,Tehran,IR,Mehrabad International Airport - Tehran
3110,OIIK,Qazvin Airport,Qazvin,IR,Qazvin Airport - Qazvin
3111,OIIM,Naja Airport,Karaj,IR,Naja Airport - Karaj
3112,OIIP,Payam International Airport,Karaj,IR,Payam International Airport - Karaj
3113,OIKB,Bandar Abbas International Airport,Bandar Abbas,IR,Bandar Abbas International Airport - Bandar Abbas
3114,OIKJ,Jiroft Airport,Jiroft,IR,Jiroft Airport - Jiroft
3115,OIKK,Ayatollah Hashemi Rafsanjani International Airport,Kerman,IR,Ayatollah Hashemi Rafsanjani International Airport - Kerman
3116,OIKM,Bam Airport,Bam,IR,Bam Airport - Bam
3117,OIKR,Rafsanjan Airport,Rafsanjan,IR,Rafsanjan Airport - Rafsanjan
3118,OIKY,Sirjan Airport,Sirjan,IR,Sirjan Airport - Sirjan
3119,OIMB,Birjand International Airport,Birjand,IR,Birjand International Airport - Birjand
3120,OIMC,Sarakhs Airport,Sarakhs,IR,Sarakhs Airport - Sarakhs
3121,OIMM,Mashhad International Airport,Mashhad,IR,Mashhad International Airport - Mashhad
3122,OIMN,Bojnord Airport,Bojnord,IR,Bojnord Airport - Bojnord
3123,OIMS,Sabzevar National Airport,Sabzevar,IR,Sabzevar National Airport - Sabzevar
3124,OIMT,Tabas Airport,Tabas,IR,Tabas Airport - Tabas
3125,OING,Gorgan Airport,Gorgan,IR,Gorgan Airport - Gorgan
3126,OINN,Nowshahr Airport,Nowshahr,IR,Nowshahr Airport - Nowshahr
3127,OINR,Ramsar Airport,Ramsar,IR,Ramsar Airport - Ramsar
3128,OINZ,Sari Dasht-e Naz International Airport,Sari,IR,Sari Dasht-e Naz International Airport - Sari
3129,OISF,Fasa Airport,Fasa,IR,Fasa Airport - Fasa
3130,OISL,Lar Airport,Lar,IR,Lar Airport - Lar
3131,OISR,Lamerd Airport,Lamerd,IR,Lamerd Airport - Lamerd
3132,OISS,Shiraz Shahid Dastghaib International Airport,Shiraz,IR,Shiraz Shahid Dastghaib International Airport - Shiraz
3133,OISY,Yasouj Airport,Yasouj,IR,Yasouj Airport - Yasouj
3134,OITL,Ardabil Airport,Ardabil,IR,Ardabil Airport - Ardabil
3135,OITR,Urmia Airport,Urmia,IR,Urmia Airport - Urmia
3136,OITT,Tabriz International Airport,Tabriz,IR,Tabriz International Airport - Tabriz
3137,OITZ,Zanjan Airport,Zanjan,IR,Zanjan Airport - Zanjan
3138,OIYY,Shahid Sadooghi Airport,Yazd,IR,Shahid Sadooghi Airport - Yazd
3139,OIZB,Zabol Airport,Zabol,IR,Zabol Airport - Zabol
3140,OIZC,Konarak Airport,Chabahar,IR,Konarak Airport - Chabahar
3141,OIZH,Zahedan International Airport,Zahedan,IR,Zahedan International Airport - Zahedan
3142,OIZI,Iranshahr Airport,Iranshahr,IR,Iranshahr Airport - Iranshahr
3143,OJAI,Queen Alia International Airport,Amman,JO,Queen Alia International Airport - Amman
3144,OJAM,Amman Civil (Marka International) Airport,Amman,JO,Amman Civil (Marka International) Airport - Amman
3145,OJAQ,Aqaba King Hussein International Airport,Aqaba,JO,Aqaba King Hussein International Airport - Aqaba
3146,OJMS,Muwaffaq Salti Air Base,Al Azraq,JO,Muwaffaq Salti Air Base - Al Azraq
3147,OKAJ,Ahmed Al Jaber Air Base,Ahmed Al Jaber AB,KW,Ahmed Al Jaber Air Base - Ahmed Al Jaber AB
3148,OKAS,Ali Al Salem Air Base,Al Damaikhi,KW,Ali Al Salem Air Base - Al Damaikhi
3149,OKBK,Kuwait International Airport,Kuwait City,KW,Kuwait International Airport - Kuwait City
3150,OLBA,Beirut Rafic Hariri International Airport,Beirut,LB,Beirut Rafic Hariri International Airport - Beirut
3151,OLKA,Rene Mouawad Air Base / Kleyate Airport,Tripoli,LB,Rene Mouawad Air Base / Kleyate Airport - Tripoli
3152,OLRA,Rayak Air Base,Rayak,LB,Rayak Air Base - Rayak
3153,OM-0003,Duqm International Airport,Duqm,OM,Duqm International Airport - Duqm
3154,OM-0004,Mussanah Airport,Al Masna'ah,OM,Mussanah Airport - Al Masna'ah
3155,OM-0007,Ras Al Hadd Airport,Ras ar Ruays,OM,Ras Al Hadd Airport - Ras ar Ruays
3156,OMAA,Abu Dhabi International Airport,Abu Dhabi,AE,Abu Dhabi International Airport - Abu Dhabi
3157,OMAD,Al Bateen Executive Airport,Abu Dhabi,AE,Al Bateen Executive Airport - Abu Dhabi
3158,OMAL,Al Ain International Airport,Al Ain,AE,Al Ain International Airport - Al Ain
3159,OMAM,Al Dhafra Air Base,,AE,Al Dhafra Air Base - nan
3160,OMBY,Sir Bani Yas Airport,Sir Bani Yas,AE,Sir Bani Yas Airport - Sir Bani Yas
3161,OMDB,Dubai International Airport,Dubai,AE,Dubai International Airport - Dubai
3162,OMDM,Al Minhad Air Base,Dubai,AE,Al Minhad Air Base - Dubai
3163,OMDW,Al Maktoum International Airport,Jebel Ali,AE,Al Maktoum International Airport - Jebel Ali
3164,OMFJ,Fujairah International Airport,,AE,Fujairah International Airport - nan
3165,OMRK,Ras Al Khaimah International Airport,Ras Al Khaimah,AE,Ras Al Khaimah International Airport - Ras Al Khaimah
3166,OMSJ,Sharjah International Airport,Sharjah,AE,Sharjah International Airport - Sharjah
3167,OOKB,Khasab Airport,Khasab,OM,Khasab Airport - Khasab
3168,OOMA,RAFO Masirah,Masirah,OM,RAFO Masirah - Masirah
3169,OOMS,Muscat International Airport,Muscat,OM,Muscat International Airport - Muscat
3170,OOSA,Salalah Airport,Salalah,OM,Salalah Airport - Salalah
3171,OOTH,Thumrait Air Base,Thumrait,OM,Thumrait Air Base - Thumrait
3172,OP12,Shamsi Airfield,Washuk,PK,Shamsi Airfield - Washuk
3173,OPBW,Bahawalpur Airport,Bahawalpur,PK,Bahawalpur Airport - Bahawalpur
3174,OPCH,Chitral Airport,Chitral,PK,Chitral Airport - Chitral
3175,OPDG,Dera Ghazi Khan Airport,Dera Ghazi Khan,PK,Dera Ghazi Khan Airport - Dera Ghazi Khan
3176,OPDI,Dera Ismael Khan Airport,Dera Ismael Khan,PK,Dera Ismael Khan Airport - Dera Ismael Khan
3177,OPFA,Faisalabad International Airport,Faisalabad,PK,Faisalabad International Airport - Faisalabad
3178,OPGD,Gwadar International Airport,Gwadar,PK,Gwadar International Airport - Gwadar
3179,OPGT,Gilgit Airport,Gilgit,PK,Gilgit Airport - Gilgit
3180,OPIS,Islamabad International Airport,Islamabad,PK,Islamabad International Airport - Islamabad
3181,OPJA,Shahbaz Air Base,Jacobabad,PK,Shahbaz Air Base - Jacobabad
3182,OPKC,Jinnah International Airport,Karachi,PK,Jinnah International Airport - Karachi
3183,OPLA,Allama Iqbal International Airport,Lahore,PK,Allama Iqbal International Airport - Lahore
3184,OPLH,Walton Airport,Lahore,PK,Walton Airport - Lahore
3185,OPMA,Mangla Airport,Mangla,PK,Mangla Airport - Mangla
3186,OPMF,Muzaffarabad Airport,Muzaffarabad,PK,Muzaffarabad Airport - Muzaffarabad
3187,OPMI,Mianwali Air Base,Mianwali,PK,Mianwali Air Base - Mianwali
3188,OPMJ,Moenjodaro Airport,Moenjodaro,PK,Moenjodaro Airport - Moenjodaro
3189,OPMR,Masroor Air Base,Karachi,PK,Masroor Air Base - Karachi
3190,OPMS,Minhas Air Base,Kamra,PK,Minhas Air Base - Kamra
3191,OPMT,Multan International Airport,Multan,PK,Multan International Airport - Multan
3192,OPNH,Shaheed Benazirabad Airport,Nawabashah,PK,Shaheed Benazirabad Airport - Nawabashah
3193,OPPG,Panjgur Airport,Panjgur,PK,Panjgur Airport - Panjgur
3194,OPPI,Pasni Airport,Pasni,PK,Pasni Airport - Pasni
3195,OPPS,Peshawar International Airport,Peshawar,PK,Peshawar International Airport - Peshawar
3196,OPQT,Quetta International Airport,Quetta,PK,Quetta International Airport - Quetta
3197,OPRK,Shaikh Zaid Airport,Rahim Yar Khan,PK,Shaikh Zaid Airport - Rahim Yar Khan
3198,OPRN,Benazir Bhutto International Airport,Islamabad,PK,Benazir Bhutto International Airport - Islamabad
3199,OPRQ,Rafiqui Air Base,Shorkot,PK,Rafiqui Air Base - Shorkot
3200,OPRS,Risalpur Air Base,Risalpur,PK,Risalpur Air Base - Risalpur
3201,OPRT,Rawalakot Airport,Rawalakot,PK,Rawalakot Airport - Rawalakot
3202,OPSD,Skardu Airport,Skardu,PK,Skardu Airport - Skardu
3203,OPSF,Faisal Air Base,Karachi,PK,Faisal Air Base - Karachi
3204,OPSK,Sukkur Airport,Mirpur Khas,PK,Sukkur Airport - Mirpur Khas
3205,OPSN,Sehwan Sharif Airport,Sehwan Sharif,PK,Sehwan Sharif Airport - Sehwan Sharif
3206,OPSR,Mushaf Air Base,Sargodha,PK,Mushaf Air Base - Sargodha
3207,OPSS,Saidu Sharif Airport,Saidu Sharif,PK,Saidu Sharif Airport - Saidu Sharif
3208,OPST,Sialkot International Airport,Sialkot,PK,Sialkot International Airport - Sialkot
3209,OPSU,Sui Airport,Sui,PK,Sui Airport - Sui
3210,OPTU,Turbat International Airport,Turbat,PK,Turbat International Airport - Turbat
3211,OPZB,Zhob Airport,Fort Sandeman,PK,Zhob Airport - Fort Sandeman
3212,ORAA,Al Asad Air Base,Hīt,IQ,Al Asad Air Base - Hīt
3213,ORAT,Al Taqaddum Air Base,Al Habbaniyah,IQ,Al Taqaddum Air Base - Al Habbaniyah
3214,ORBD,Balad Southeast Airport / Joint Base Balad,Al Bakr,IQ,Balad Southeast Airport / Joint Base Balad - Al Bakr
3215,ORBI,Baghdad International Airport / New Al Muthana Air Base,Baghdad,IQ,Baghdad International Airport / New Al Muthana Air Base - Baghdad
3216,ORBM,Mosul International Airport,Mosul,IQ,Mosul International Airport - Mosul
3217,ORER,Erbil International Airport,Arbil,IQ,Erbil International Airport - Arbil
3218,ORKK,Kirkuk Air Base,Kirkuk,IQ,Kirkuk Air Base - Kirkuk
3219,ORMM,Basra International Airport,Basra,IQ,Basra International Airport - Basra
3220,ORNI,Al Najaf International Airport,Najaf,IQ,Al Najaf International Airport - Najaf
3221,ORQW,Qayyarah West Airport,Qayyarah,IQ,Qayyarah West Airport - Qayyarah
3222,ORSH,Al Sahra Army Air Field,Tikrit,IQ,Al Sahra Army Air Field - Tikrit
3223,ORSU,Sulaymaniyah International Airport,Sulaymaniyah,IQ,Sulaymaniyah International Airport - Sulaymaniyah
3224,ORTF,Tall Afar Army Air Field,Tall Afar,IQ,Tall Afar Army Air Field - Tall Afar
3225,ORTI,Al Taji Army Air Field,Taji,IQ,Al Taji Army Air Field - Taji
3226,ORTL,Ali Air Base,Nasiriyah,IQ,Ali Air Base - Nasiriyah
3227,ORUB,Ubaydah Bin Al Jarrah Airport,Al Kut,IQ,Ubaydah Bin Al Jarrah Airport - Al Kut
3228,OS57,Abu ad Duhur Air Base,Abu ad Duhur,SY,Abu ad Duhur Air Base - Abu ad Duhur
3229,OS64,An Nasiriyah Air Base,,SY,An Nasiriyah Air Base - nan
3230,OS69,Khalkhalah Air Base,Buraq,SY,Khalkhalah Air Base - Buraq
3231,OS70,Al Qusayr Air Base,Al-Qusayr,SY,Al Qusayr Air Base - Al-Qusayr
3232,OSAP,Aleppo International Airport,Aleppo,SY,Aleppo International Airport - Aleppo
3233,OSDI,Damascus International Airport,Damascus,SY,Damascus International Airport - Damascus
3234,OSDZ,Deir ez-Zor Airport,Deir ez-Zor,SY,Deir ez-Zor Airport - Deir ez-Zor
3235,OSKL,Qamishli Airport,Qamishly,SY,Qamishli Airport - Qamishly
3236,OSLK,Bassel Al-Assad International Airport,Latakia,SY,Bassel Al-Assad International Airport - Latakia
3237,OSPR,Palmyra Airport,Tadmur,SY,Palmyra Airport - Tadmur
3238,OTBD,Doha International Airport,Doha,QA,Doha International Airport - Doha
3239,OTBH,Al Udeid Air Base,Ar Rayyan,QA,Al Udeid Air Base - Ar Rayyan
3240,OTHH,Hamad International Airport,Doha,QA,Hamad International Airport - Doha
3241,OY74,Al Anad Air Base,Al Anad,YE,Al Anad Air Base - Al Anad
3242,OYAA,Aden International Airport,Aden,YE,Aden International Airport - Aden
3243,OYAT,Ataq Airport,Ataq,YE,Ataq Airport - Ataq
3244,OYGD,Al Ghaydah International Airport,Al Ghaydah,YE,Al Ghaydah International Airport - Al Ghaydah
3245,OYHD,Hodeidah International Airport,Hodeida,YE,Hodeidah International Airport - Hodeida
3246,OYRN,Riyan Mukalla International Airport,Riyan,YE,Riyan Mukalla International Airport - Riyan
3247,OYSN,Sana'a International Airport,Sana'a,YE,Sana'a International Airport - Sana'a
3248,OYSQ,Socotra International Airport,Socotra Islands,YE,Socotra International Airport - Socotra Islands
3249,OYSY,Seiyun Hadhramaut International Airport,Seiyun,YE,Seiyun Hadhramaut International Airport - Seiyun
3250,OYTZ,Ta'izz International Airport,Ta'izz,YE,Ta'izz International Airport - Ta'izz
3251,PAAQ,"Warren ""Bud"" Woods Palmer Municipal Airport",Palmer,US,"Warren ""Bud"" Woods Palmer Municipal Airport - Palmer"
3252,PABA,Barter Island Long Range Radar Station Airport,Barter Island,US,Barter Island Long Range Radar Station Airport - Barter Island
3253,PABE,Bethel Airport,Bethel,US,Bethel Airport - Bethel
3254,PABI,Allen Army Airfield,Delta Junction Ft Greely,US,Allen Army Airfield - Delta Junction Ft Greely
3255,PABL,Buckland Airport,Buckland,US,Buckland Airport - Buckland
3256,PABR,Wiley Post Will Rogers Memorial Airport,Utqiaġvik,US,Wiley Post Will Rogers Memorial Airport - Utqiaġvik
3257,PABT,Bettles Airport,Bettles,US,Bettles Airport - Bettles
3258,PABV,Birchwood Airport,Birchwood,US,Birchwood Airport - Birchwood
3259,PACD,Cold Bay Airport,Cold Bay,US,Cold Bay Airport - Cold Bay
3260,PACL,Clear Airport,Clear,US,Clear Airport - Clear
3261,PACM,Scammon Bay Airport,Scammon Bay,US,Scammon Bay Airport - Scammon Bay
3262,PACV,Merle K (Mudhole) Smith Airport,Cordova,US,Merle K (Mudhole) Smith Airport - Cordova
3263,PACZ,Cape Romanzof LRRS Airport,Cape Romanzof,US,Cape Romanzof LRRS Airport - Cape Romanzof
3264,PADE,Deering Airport,Deering,US,Deering Airport - Deering
3265,PADK,Adak Airport,Adak,US,Adak Airport - Adak
3266,PADL,Dillingham Airport,Dillingham,US,Dillingham Airport - Dillingham
3267,PADM,Marshall Don Hunter Sr Airport,Marshall,US,Marshall Don Hunter Sr Airport - Marshall
3268,PADQ,Kodiak Airport,Kodiak,US,Kodiak Airport - Kodiak
3269,PADU,Tom Madsen (Dutch Harbor) Airport,Unalaska,US,Tom Madsen (Dutch Harbor) Airport - Unalaska
3270,PAED,Elmendorf Air Force Base,Anchorage,US,Elmendorf Air Force Base - Anchorage
3271,PAEH,Cape Newenham LRRS Airport,Cape Newenham,US,Cape Newenham LRRS Airport - Cape Newenham
3272,PAEI,Eielson Air Force Base,Fairbanks,US,Eielson Air Force Base - Fairbanks
3273,PAEM,Emmonak Airport,Emmonak,US,Emmonak Airport - Emmonak
3274,PAEN,Kenai Municipal Airport,Kenai,US,Kenai Municipal Airport - Kenai
3275,PAFA,Fairbanks International Airport,Fairbanks,US,Fairbanks International Airport - Fairbanks
