,depart_airport,depart_date,depart_time,arrival_time,arrival_date,dest_airport,airline
11638,Whale Cove Airport - Whale Cove,2022-06-01,22:00,22:55,2022-06-01,Fort Smith Airport - Fort Smith,Aegean Airlines
11639,Churchill Airport - Churchill,2022-06-10,01:27,05:34,2022-06-10,Abbotsford International Airport - Abbotsford,MBA Pty Ltd
11640,Churchill Airport - Churchill,2022-06-24,11:03,12:32,2022-06-24,Kapuskasing Airport - Kapuskasing,British Airways
11641,Whale Cove Airport - Whale Cove,2022-06-16,03:08,03:48,2022-06-16,Timmins/Victor M. Power - Timmins,LAN Airlines
11642,London Airport - London,2022-06-13,03:50,07:36,2022-06-13,Abbotsford International Airport - Abbotsford,Jin Air
11643,Taloyoak Airport - Taloyoak,2022-06-12,06:34,09:24,2022-06-12,Whale Cove Airport - Whale Cove,Thai AirAsia X
11644,Lynn Lake Airport - Lynn Lake,2022-06-22,03:50,07:16,2022-06-22,Fort St John Airport - Fort St.John,Air Austral
11645,Lester B. Pearson International Airport - Toronto,2022-06-21,09:20,11:53,2022-06-21,Fort St John Airport - Fort St.John,Delta Air Lines
11646,Victoria International Airport - Victoria,2022-06-04,15:28,16:08,2022-06-04,Taloyoak Airport - Taloyoak,American Airlines
11647,Northwest Regional Airport Terrace-Kitimat - Terrace,2022-06-27,09:06,12:42,2022-06-27,Timmins/Victor M. Power - Timmins,Royal Tongan Airlines
11648,Whale Cove Airport - Whale Cove,2022-06-25,23:57,05:50,2022-06-25,Timmins/Victor M. Power - Timmins,Philippine Airlines
11649,St. John's International Airport - St. John's,2022-06-23,06:27,12:56,2022-06-23,Churchill Airport - Churchill,All Nippon Airways
11650,Armstrong Airport - Armstrong,2022-06-27,07:12,10:04,2022-06-27,Northwest Regional Airport Terrace-Kitimat - Terrace,Union de Transports Aeriens
11651,Downsview Airport - Toronto,2022-06-30,17:01,18:54,2022-06-30,Gore Bay Manitoulin Airport - Gore Bay,United Parcel Service
11652,Taloyoak Airport - Taloyoak,2022-06-07,12:26,16:16,2022-06-07,Churchill Airport - Churchill,Xiamen Airlines
11653,St Leonard Airport - St Leonard,2022-06-21,22:27,02:39,2022-06-21,Lester B. Pearson International Airport - Toronto,Air New Zealand
11654,North Bay Jack Garland Airport - North Bay,2022-06-14,03:47,09:21,2022-06-14,Fort St John Airport - Fort St.John,Indonesia AirAsia
11655,Whale Cove Airport - Whale Cove,2022-06-28,12:44,14:01,2022-06-28,Bonaventure Airport - Bonaventure,Olympic Airways
11656,St Leonard Airport - St Leonard,2022-06-03,19:40,20:22,2022-06-03,Fort Smith Airport - Fort Smith,National Jet Systems
11657,Northwest Regional Airport Terrace-Kitimat - Terrace,2022-06-02,22:09,01:57,2022-06-02,Mont Joli Airport - Mont-Joli,Sichuan Airlines
11658,St Leonard Airport - St Leonard,2022-06-19,23:14,05:25,2022-06-19,Whale Cove Airport - Whale Cove,Air Nauru
11659,London Airport - London,2022-06-25,02:37,03:28,2022-06-25,Taloyoak Airport - Taloyoak,Hainan Airlines
11660,Bonaventure Airport - Bonaventure,2022-06-03,00:45,03:35,2022-06-03,Lester B. Pearson International Airport - Toronto,Cook Islands International
11661,North Bay Jack Garland Airport - North Bay,2022-06-26,13:51,14:52,2022-06-26,St Leonard Airport - St Leonard,Air China
11662,Medicine Hat Regional Airport - Medicine Hat,2022-06-09,09:47,12:18,2022-06-09,Downsview Airport - Toronto,Air New Zealand
11663,Swift Current Airport - Swift Current,2022-06-09,04:32,08:22,2022-06-09,Lynn Lake Airport - Lynn Lake,Kiwi Travel Intl Airlines
11664,Churchill Airport - Churchill,2022-06-23,23:11,04:18,2022-06-23,Downsview Airport - Toronto,Thai Airways International
11665,Gore Bay Manitoulin Airport - Gore Bay,2022-06-10,04:05,07:32,2022-06-10,Mont Joli Airport - Mont-Joli,China Eastern Airlines
11666,Downsview Airport - Toronto,2022-06-13,11:17,12:58,2022-06-13,Swift Current Airport - Swift Current,Merpati Nusantara Airlines
11667,Whale Cove Airport - Whale Cove,2022-06-27,03:03,06:52,2022-06-27,Abbotsford International Airport - Abbotsford,British Airways
11668,Medicine Hat Regional Airport - Medicine Hat,2022-06-12,01:34,08:12,2022-06-12,Lynn Lake Airport - Lynn Lake,Ansett International
11669,Lynn Lake Airport - Lynn Lake,2022-06-13,18:00,23:42,2022-06-13,Mont Joli Airport - Mont-Joli,Polynesian Airlines
11670,Churchill Airport - Churchill,2022-06-08,12:17,15:56,2022-06-08,Goose Bay Airport - Goose Bay,Lufthansa German Airlines
11671,Beaver Creek Airport - Beaver Creek,2022-06-26,22:04,01:40,2022-06-26,Fort St John Airport - Fort St.John,Batik Air Indonesia
11672,Swift Current Airport - Swift Current,2022-06-01,01:37,05:53,2022-06-01,St. John's International Airport - St. John's,OzJet
11673,St. John's International Airport - St. John's,2022-06-12,04:38,10:23,2022-06-12,Medicine Hat Regional Airport - Medicine Hat,Qantas Airways
11674,Churchill Airport - Churchill,2022-06-17,01:56,06:57,2022-06-17,Fort St John Airport - Fort St.John,Merpati Nusantara Airlines
11675,Timmins/Victor M. Power - Timmins,2022-06-07,18:02,22:54,2022-06-07,Lester B. Pearson International Airport - Toronto,Qatar Airways
11676,Lester B. Pearson International Airport - Toronto,2022-06-20,18:23,20:16,2022-06-20,Mont Joli Airport - Mont-Joli,Freedom Air International
11677,Lynn Lake Airport - Lynn Lake,2022-06-18,07:55,14:25,2022-06-18,Fort Smith Airport - Fort Smith,Beijing Capital Airlines
11678,Taloyoak Airport - Taloyoak,2022-06-10,06:52,12:49,2022-06-10,St. John's International Airport - St. John's,Tigerair
11679,St Leonard Airport - St Leonard,2022-06-11,01:03,01:23,2022-06-11,London Airport - London,Australia Asia Airlines
11680,Fort Nelson Airport - Fort Nelson,2022-06-11,18:50,22:37,2022-06-11,Medicine Hat Regional Airport - Medicine Hat,Air India
11681,Mont Joli Airport - Mont-Joli,2022-06-10,07:36,13:19,2022-06-10,Swift Current Airport - Swift Current,SriLankan Airlines
11682,Abbotsford International Airport - Abbotsford,2022-06-14,09:42,10:16,2022-06-14,Downsview Airport - Toronto,Connie Kalitta Services
11683,Lester B. Pearson International Airport - Toronto,2022-06-17,01:35,03:52,2022-06-17,Kapuskasing Airport - Kapuskasing,Merpati Nusantara Airlines
11684,Northwest Regional Airport Terrace-Kitimat - Terrace,2022-06-02,23:06,03:56,2022-06-02,St. John's International Airport - St. John's,Cook Islands International
11685,Victoria International Airport - Victoria,2022-06-01,16:43,19:27,2022-06-01,Beaver Creek Airport - Beaver Creek,Thai Airways International
11686,St. John's International Airport - St. John's,2022-06-13,03:26,05:17,2022-06-13,Gore Bay Manitoulin Airport - Gore Bay,Yugoslav Airlines
11687,Swift Current Airport - Swift Current,2022-06-02,18:32,00:18,2022-06-02,Downsview Airport - Toronto,Air Caledonie International
11688,Armstrong Airport - Armstrong,2022-06-18,06:00,11:57,2022-06-18,Taloyoak Airport - Taloyoak,Indonesia AirAsia Extra
11689,La Ronge Airport - La Ronge,2022-06-17,10:00,13:39,2022-06-17,Victoria International Airport - Victoria,Airnorth
11690,Victoria International Airport - Victoria,2022-06-28,15:34,16:00,2022-06-28,Beaver Creek Airport - Beaver Creek,Kiwi Travel Intl Airlines
11691,Bonaventure Airport - Bonaventure,2022-06-28,14:13,20:38,2022-06-28,Kapuskasing Airport - Kapuskasing,Connie Kalitta Services
11692,Kapuskasing Airport - Kapuskasing,2022-06-15,01:55,08:17,2022-06-15,Lester B. Pearson International Airport - Toronto,Mandarin Airlines
11693,Armstrong Airport - Armstrong,2022-06-13,10:36,14:29,2022-06-13,Fort St John Airport - Fort St.John,Hainan Airlines
11694,Goose Bay Airport - Goose Bay,2022-06-09,22:18,01:42,2022-06-09,Medicine Hat Regional Airport - Medicine Hat,Union de Transports Aeriens
11695,Whale Cove Airport - Whale Cove,2022-06-15,15:57,22:31,2022-06-15,Victoria International Airport - Victoria,Asiana Airlines
11696,Churchill Airport - Churchill,2022-06-06,04:15,06:46,2022-06-06,Whale Cove Airport - Whale Cove,Lauda Air
11697,Victoria International Airport - Victoria,2022-06-22,11:31,17:08,2022-06-22,North Bay Jack Garland Airport - North Bay,Canadian Airlines Intl
11698,Fort Nelson Airport - Fort Nelson,2022-06-16,14:42,19:07,2022-06-16,Whale Cove Airport - Whale Cove,Australia Asia Airlines
11699,St. John's International Airport - St. John's,2022-06-26,08:17,09:52,2022-06-26,Swift Current Airport - Swift Current,Hawaiian Airlines
11700,St. John's International Airport - St. John's,2022-06-13,09:31,10:00,2022-06-13,St Leonard Airport - St Leonard,Scoot Tigerair
11701,Lynn Lake Airport - Lynn Lake,2022-06-05,00:42,02:54,2022-06-05,St Leonard Airport - St Leonard,Airlines PNG
11702,Northwest Regional Airport Terrace-Kitimat - Terrace,2022-06-24,05:29,07:42,2022-06-24,St. John's International Airport - St. John's,Tianjin Airlines
11703,Mont Joli Airport - Mont-Joli,2022-06-17,02:30,07:12,2022-06-17,Fort Smith Airport - Fort Smith,Lauda Air
11704,Whale Cove Airport - Whale Cove,2022-06-18,18:56,22:30,2022-06-18,Lester B. Pearson International Airport - Toronto,SkyExpress
11705,Downsview Airport - Toronto,2022-06-26,15:05,15:36,2022-06-26,Lester B. Pearson International Airport - Toronto,Hawaiian Airlines
11706,Armstrong Airport - Armstrong,2022-06-30,20:40,23:16,2022-06-30,North Bay Jack Garland Airport - North Bay,Austrian Airlines
11707,Northwest Regional Airport Terrace-Kitimat - Terrace,2022-06-13,02:42,07:20,2022-06-13,Downsview Airport - Toronto,Tasman Cargo Airlines
11708,North Bay Jack Garland Airport - North Bay,2022-06-20,09:22,15:51,2022-06-20,Timmins/Victor M. Power - Timmins,Air Chathams
11709,Fort Smith Airport - Fort Smith,2022-06-08,19:44,20:38,2022-06-08,St Leonard Airport - St Leonard,Air Nauru
11710,Goose Bay Airport - Goose Bay,2022-06-04,18:07,21:50,2022-06-04,Timmins/Victor M. Power - Timmins,Virgin Australia
11711,Fort Nelson Airport - Fort Nelson,2022-06-21,04:07,04:38,2022-06-21,Downsview Airport - Toronto,Swissair
11712,Timmins/Victor M. Power - Timmins,2022-06-18,16:45,17:33,2022-06-18,Whale Cove Airport - Whale Cove,Virgin Atlantic Airways
11713,Bonaventure Airport - Bonaventure,2022-06-30,00:43,06:03,2022-06-30,Goose Bay Airport - Goose Bay,Donghai Airlines
11714,Lynn Lake Airport - Lynn Lake,2022-06-15,02:09,06:35,2022-06-15,Mont Joli Airport - Mont-Joli,Australia Asia Airlines
11715,London Airport - London,2022-06-23,02:33,04:04,2022-06-23,Beaver Creek Airport - Beaver Creek,Malindo Air
11716,Bonaventure Airport - Bonaventure,2022-06-04,10:15,13:19,2022-06-04,Lester B. Pearson International Airport - Toronto,SriLankan Airlines
11717,Northwest Regional Airport Terrace-Kitimat - Terrace,2022-06-18,14:07,17:08,2022-06-18,London Airport - London,Yugoslav Airlines
11718,Fort Nelson Airport - Fort Nelson,2022-06-27,00:26,06:45,2022-06-27,Kapuskasing Airport - Kapuskasing,Mandarin Airlines
11719,Kapuskasing Airport - Kapuskasing,2022-06-19,22:30,04:02,2022-06-19,Abbotsford International Airport - Abbotsford,Air Canada
11720,North Bay Jack Garland Airport - North Bay,2022-06-29,20:38,23:37,2022-06-29,Gore Bay Manitoulin Airport - Gore Bay,Air Zimbabwe
11721,Fort St John Airport - Fort St.John,2022-06-06,05:39,10:36,2022-06-06,Taloyoak Airport - Taloyoak,Air Australia
11722,Lynn Lake Airport - Lynn Lake,2022-06-11,00:56,02:22,2022-06-11,London Airport - London,Tigerair Australia
11723,Taloyoak Airport - Taloyoak,2022-06-04,17:34,18:25,2022-06-04,Timmins/Victor M. Power - Timmins,Asiana Airlines
11724,Goose Bay Airport - Goose Bay,2022-06-24,11:34,15:39,2022-06-24,Fort St John Airport - Fort St.John,British Airways
11725,London Airport - London,2022-06-03,13:26,18:34,2022-06-03,Whale Cove Airport - Whale Cove,Air Canada
11726,Abbotsford International Airport - Abbotsford,2022-06-07,10:43,15:04,2022-06-07,La Ronge Airport - La Ronge,Air Caledonie International
11727,Fort Smith Airport - Fort Smith,2022-06-01,03:56,06:50,2022-06-01,Timmins/Victor M. Power - Timmins,Citilink Indonesia
11728,Bonaventure Airport - Bonaventure,2022-06-06,23:01,02:04,2022-06-06,Timmins/Victor M. Power - Timmins,Our Airline
11729,Northwest Regional Airport Terrace-Kitimat - Terrace,2022-06-16,04:18,09:53,2022-06-16,St Leonard Airport - St Leonard,Ansett Air Freight
11730,Churchill Airport - Churchill,2022-06-29,06:57,11:47,2022-06-29,Swift Current Airport - Swift Current,LATAM Airlines
11731,Fort St John Airport - Fort St.John,2022-06-29,01:21,06:36,2022-06-29,Lynn Lake Airport - Lynn Lake,Batik Air Indonesia
11732,St Leonard Airport - St Leonard,2022-06-20,04:12,10:45,2022-06-20,Kapuskasing Airport - Kapuskasing,Virgin Samoa
11733,Whale Cove Airport - Whale Cove,2022-06-24,08:19,12:17,2022-06-24,Abbotsford International Airport - Abbotsford,Tiger Airways
11734,North Bay Jack Garland Airport - North Bay,2022-06-03,14:42,18:09,2022-06-03,Swift Current Airport - Swift Current,Air Pacific
11735,Lester B. Pearson International Airport - Toronto,2022-06-07,23:15,03:30,2022-06-07,London Airport - London,Air Mauritius
11736,Beaver Creek Airport - Beaver Creek,2022-06-28,15:19,16:57,2022-06-28,Bonaventure Airport - Bonaventure,Jetstar Asia
11737,Fort Smith Airport - Fort Smith,2022-06-14,03:04,07:47,2022-06-14,North Bay Jack Garland Airport - North Bay,Beijing Capital Airlines
11738,Timmins/Victor M. Power - Timmins,2022-06-26,10:02,12:31,2022-06-26,Northwest Regional Airport Terrace-Kitimat - Terrace,OzJet
11739,Lynn Lake Airport - Lynn Lake,2022-06-10,02:42,07:02,2022-06-10,La Ronge Airport - La Ronge,Asiana Airlines
11740,Armstrong Airport - Armstrong,2022-06-26,20:41,00:59,2022-06-26,St. John's International Airport - St. John's,Aerolineas Argentinas
11741,Mont Joli Airport - Mont-Joli,2022-06-02,17:15,17:38,2022-06-02,Goose Bay Airport - Goose Bay,Gulf Air
11742,Mont Joli Airport - Mont-Joli,2022-06-12,04:00,04:22,2022-06-12,Taloyoak Airport - Taloyoak,Valuair
11743,North Bay Jack Garland Airport - North Bay,2022-06-05,14:30,14:59,2022-06-05,Abbotsford International Airport - Abbotsford,Air China
11744,Taloyoak Airport - Taloyoak,2022-06-02,11:37,16:37,2022-06-02,Victoria International Airport - Victoria,Air Pacific
11745,Victoria International Airport - Victoria,2022-06-21,12:44,15:22,2022-06-21,Fort St John Airport - Fort St.John,Air India
11746,Goose Bay Airport - Goose Bay,2022-06-08,20:49,00:41,2022-06-08,Kapuskasing Airport - Kapuskasing,Australia Asia Airlines
11747,Medicine Hat Regional Airport - Medicine Hat,2022-06-16,22:42,03:42,2022-06-16,London Airport - London,Alitalia
11748,St Leonard Airport - St Leonard,2022-06-14,21:49,02:33,2022-06-14,Kapuskasing Airport - Kapuskasing,Our Airline
11749,Kapuskasing Airport - Kapuskasing,2022-06-16,10:43,12:25,2022-06-16,Churchill Airport - Churchill,Air Mauritius
11750,Northwest Regional Airport Terrace-Kitimat - Terrace,2022-06-11,23:09,00:20,2022-06-11,Medicine Hat Regional Airport - Medicine Hat,SriLankan Airlines
11751,Mont Joli Airport - Mont-Joli,2022-06-05,15:38,20:55,2022-06-05,Gore Bay Manitoulin Airport - Gore Bay,Flying Tiger Line
11752,Armstrong Airport - Armstrong,2022-06-19,21:20,23:10,2022-06-19,Timmins/Victor M. Power - Timmins,Cook Islands International
11753,North Bay Jack Garland Airport - North Bay,2022-06-23,20:51,22:10,2022-06-23,Timmins/Victor M. Power - Timmins,JALways
11754,Swift Current Airport - Swift Current,2022-06-21,12:21,14:37,2022-06-21,Lynn Lake Airport - Lynn Lake,AOM French Airlines
11755,Fort Smith Airport - Fort Smith,2022-06-17,13:22,18:39,2022-06-17,Abbotsford International Airport - Abbotsford,SkyAirWorld
11756,Gore Bay Manitoulin Airport - Gore Bay,2022-06-19,11:36,14:58,2022-06-19,St. John's International Airport - St. John's,Garuda Indonesia
11757,St Leonard Airport - St Leonard,2022-06-07,01:52,04:59,2022-06-07,Beaver Creek Airport - Beaver Creek,Air New Zealand
11758,St Leonard Airport - St Leonard,2022-06-06,21:38,22:14,2022-06-06,Goose Bay Airport - Goose Bay,Jetstar Asia
11759,Armstrong Airport - Armstrong,2022-06-05,10:27,12:57,2022-06-05,La Ronge Airport - La Ronge,Tasman Cargo Airlines
11760,Swift Current Airport - Swift Current,2022-06-03,09:54,13:37,2022-06-03,Fort Smith Airport - Fort Smith,Cook Islands International
11761,Fort Smith Airport - Fort Smith,2022-06-06,22:14,04:25,2022-06-06,Timmins/Victor M. Power - Timmins,Continental Airlines
11762,London Airport - London,2022-06-27,15:08,20:23,2022-06-27,Fort Nelson Airport - Fort Nelson,Citilink Indonesia
11763,Victoria International Airport - Victoria,2022-06-23,15:37,20:19,2022-06-23,St Leonard Airport - St Leonard,Thai Airways International
11764,Swift Current Airport - Swift Current,2022-06-30,09:48,15:45,2022-06-30,Armstrong Airport - Armstrong,Air Zimbabwe
11765,Timmins/Victor M. Power - Timmins,2022-06-26,21:58,00:21,2022-06-26,Fort St John Airport - Fort St.John,Virgin Atlantic Airways
11766,Kapuskasing Airport - Kapuskasing,2022-06-14,04:51,07:46,2022-06-14,Victoria International Airport - Victoria,Tigerair
11767,Northwest Regional Airport Terrace-Kitimat - Terrace,2022-06-06,05:31,07:18,2022-06-06,Armstrong Airport - Armstrong,Pacific Air Express
11768,Taloyoak Airport - Taloyoak,2022-06-03,01:31,02:40,2022-06-03,Swift Current Airport - Swift Current,Citilink Indonesia
11769,North Bay Jack Garland Airport - North Bay,2022-06-28,17:29,22:00,2022-06-28,Timmins/Victor M. Power - Timmins,Nauru Airlines
11770,Medicine Hat Regional Airport - Medicine Hat,2022-06-02,21:15,03:53,2022-06-02,Fort St John Airport - Fort St.John,OzJet
11771,Abbotsford International Airport - Abbotsford,2022-06-19,00:51,04:34,2022-06-19,Kapuskasing Airport - Kapuskasing,Australia Asia Airlines
11772,La Ronge Airport - La Ronge,2022-06-06,04:40,06:16,2022-06-06,Churchill Airport - Churchill,Martinair Holland
11773,Kapuskasing Airport - Kapuskasing,2022-06-23,04:17,08:18,2022-06-23,Churchill Airport - Churchill,LATAM Airlines
11774,North Bay Jack Garland Airport - North Bay,2022-06-10,19:29,21:16,2022-06-10,London Airport - London,Pacific Air Express
11775,Armstrong Airport - Armstrong,2022-06-14,02:52,08:42,2022-06-14,La Ronge Airport - La Ronge,Gemini Air Cargo
11776,Timmins/Victor M. Power - Timmins,2022-06-10,09:17,14:24,2022-06-10,St. John's International Airport - St. John's,Our Airline
11777,Bonaventure Airport - Bonaventure,2022-06-08,02:19,04:54,2022-06-08,Lester B. Pearson International Airport - Toronto,LAN Airlines
11778,North Bay Jack Garland Airport - North Bay,2022-06-03,17:08,21:28,2022-06-03,Swift Current Airport - Swift Current,Air China
11779,Mont Joli Airport - Mont-Joli,2022-06-03,07:33,10:21,2022-06-03,Taloyoak Airport - Taloyoak,Continental Airlines
11780,Whale Cove Airport - Whale Cove,2022-06-25,11:00,14:10,2022-06-25,North Bay Jack Garland Airport - North Bay,Cook Islands International
11781,Gore Bay Manitoulin Airport - Gore Bay,2022-06-02,11:32,16:05,2022-06-02,Fort Smith Airport - Fort Smith,Our Airline
11782,Mont Joli Airport - Mont-Joli,2022-06-03,04:20,06:51,2022-06-03,London Airport - London,Continental Airlines
11783,Fort Nelson Airport - Fort Nelson,2022-06-02,17:17,21:38,2022-06-02,Lynn Lake Airport - Lynn Lake,Donghai Airlines
11784,Northwest Regional Airport Terrace-Kitimat - Terrace,2022-06-03,14:16,19:52,2022-06-03,St Leonard Airport - St Leonard,Cook Islands International
11785,Fort Nelson Airport - Fort Nelson,2022-06-26,05:28,08:37,2022-06-26,Abbotsford International Airport - Abbotsford,EgyptAir
11786,Northwest Regional Airport Terrace-Kitimat - Terrace,2022-06-16,04:52,11:14,2022-06-16,Timmins/Victor M. Power - Timmins,Sempati Air
11787,Victoria International Airport - Victoria,2022-06-18,11:09,12:32,2022-06-18,Armstrong Airport - Armstrong,Sichuan Airlines
11788,Lynn Lake Airport - Lynn Lake,2022-06-21,01:06,01:57,2022-06-21,Goose Bay Airport - Goose Bay,V Australia
11789,Abbotsford International Airport - Abbotsford,2022-06-21,07:15,12:38,2022-06-21,Lynn Lake Airport - Lynn Lake,British Airways
11790,North Bay Jack Garland Airport - North Bay,2022-06-01,02:19,04:56,2022-06-01,St. John's International Airport - St. John's,Beijing Capital Airlines
11791,Kapuskasing Airport - Kapuskasing,2022-06-13,12:16,13:13,2022-06-13,Medicine Hat Regional Airport - Medicine Hat,Middle East Airlines
11792,Whale Cove Airport - Whale Cove,2022-06-22,11:15,16:15,2022-06-22,North Bay Jack Garland Airport - North Bay,Lan Chile
11793,Lynn Lake Airport - Lynn Lake,2022-06-11,15:28,16:40,2022-06-11,Fort Smith Airport - Fort Smith,Beijing Capital Airlines
11794,North Bay Jack Garland Airport - North Bay,2022-06-02,19:35,21:31,2022-06-02,Lynn Lake Airport - Lynn Lake,Virgin Samoa
11795,Fort Smith Airport - Fort Smith,2022-06-04,20:08,22:56,2022-06-04,St Leonard Airport - St Leonard,Flight West Airlines
11796,Medicine Hat Regional Airport - Medicine Hat,2022-06-24,10:56,15:24,2022-06-24,Taloyoak Airport - Taloyoak,Air Paradise International
11797,Northwest Regional Airport Terrace-Kitimat - Terrace,2022-06-09,22:00,03:32,2022-06-09,Gore Bay Manitoulin Airport - Gore Bay,American Airlines
11798,Northwest Regional Airport Terrace-Kitimat - Terrace,2022-06-08,10:29,12:38,2022-06-08,Taloyoak Airport - Taloyoak,Jetstar Asia
11799,Fort St John Airport - Fort St.John,2022-06-08,15:55,21:18,2022-06-08,North Bay Jack Garland Airport - North Bay,Aerolineas Argentinas
11800,London Airport - London,2022-06-20,20:54,22:05,2022-06-20,Mont Joli Airport - Mont-Joli,Federal Express Corporation
11801,Medicine Hat Regional Airport - Medicine Hat,2022-06-12,07:03,07:36,2022-06-12,Kapuskasing Airport - Kapuskasing,Federal Express Corporation
11802,Lynn Lake Airport - Lynn Lake,2022-06-02,19:56,01:04,2022-06-02,Northwest Regional Airport Terrace-Kitimat - Terrace,Air Caledonie
11803,Abbotsford International Airport - Abbotsford,2022-06-15,21:44,03:25,2022-06-15,Whale Cove Airport - Whale Cove,Aerolineas Argentinas
11804,Mont Joli Airport - Mont-Joli,2022-06-12,09:17,12:28,2022-06-12,Bonaventure Airport - Bonaventure,Gemini Air Cargo
11805,La Ronge Airport - La Ronge,2022-06-11,09:20,15:17,2022-06-11,Downsview Airport - Toronto,Indonesia AirAsia Extra
11806,St Leonard Airport - St Leonard,2022-06-18,05:45,11:08,2022-06-18,Taloyoak Airport - Taloyoak,Freedom Air International
11807,Medicine Hat Regional Airport - Medicine Hat,2022-06-05,18:10,21:26,2022-06-05,Fort St John Airport - Fort St.John,Scoot
11808,Beaver Creek Airport - Beaver Creek,2022-06-02,08:10,08:51,2022-06-02,Goose Bay Airport - Goose Bay,Scoot
11809,Mont Joli Airport - Mont-Joli,2022-06-04,18:09,18:56,2022-06-04,Whale Cove Airport - Whale Cove,Sichuan Airlines
11810,Northwest Regional Airport Terrace-Kitimat - Terrace,2022-06-02,22:58,00:24,2022-06-02,St Leonard Airport - St Leonard,Air Vanuatu
11811,Downsview Airport - Toronto,2022-06-09,15:07,17:19,2022-06-09,La Ronge Airport - La Ronge,British Airways
11812,Medicine Hat Regional Airport - Medicine Hat,2022-06-22,12:42,16:15,2022-06-22,La Ronge Airport - La Ronge,Delta Air Lines
11813,Kapuskasing Airport - Kapuskasing,2022-06-03,20:59,22:36,2022-06-03,St. John's International Airport - St. John's,Lan Chile
11814,North Bay Jack Garland Airport - North Bay,2022-06-30,05:35,07:32,2022-06-30,Medicine Hat Regional Airport - Medicine Hat,Solomon Airlines
11815,Lynn Lake Airport - Lynn Lake,2022-06-28,23:13,02:49,2022-06-28,Kapuskasing Airport - Kapuskasing,Aegean Airlines
11816,St Leonard Airport - St Leonard,2022-06-29,03:24,08:53,2022-06-29,Taloyoak Airport - Taloyoak,Yugoslav Airlines
11817,Fort St John Airport - Fort St.John,2022-06-02,08:43,13:05,2022-06-02,Goose Bay Airport - Goose Bay,Jin Air
11818,Medicine Hat Regional Airport - Medicine Hat,2022-06-11,03:24,08:08,2022-06-11,London Airport - London,Cebu Pacific Air
11819,Fort St John Airport - Fort St.John,2022-06-15,09:33,11:26,2022-06-15,London Airport - London,Air China
11820,Downsview Airport - Toronto,2022-06-01,21:59,01:38,2022-06-01,Swift Current Airport - Swift Current,Polar Air Cargo
11821,Kapuskasing Airport - Kapuskasing,2022-06-09,21:05,02:56,2022-06-09,Beaver Creek Airport - Beaver Creek,Garuda Indonesia
11822,North Bay Jack Garland Airport - North Bay,2022-06-12,01:02,05:18,2022-06-12,Lester B. Pearson International Airport - Toronto,Cook Islands International
11823,Timmins/Victor M. Power - Timmins,2022-06-24,14:39,16:59,2022-06-24,St Leonard Airport - St Leonard,Virgin Australia
11824,North Bay Jack Garland Airport - North Bay,2022-06-18,19:49,01:07,2022-06-18,Kapuskasing Airport - Kapuskasing,Virgin Samoa
11825,Downsview Airport - Toronto,2022-06-16,05:31,08:28,2022-06-16,Northwest Regional Airport Terrace-Kitimat - Terrace,Gulf Air
11826,Bonaventure Airport - Bonaventure,2022-06-16,01:42,07:09,2022-06-16,Goose Bay Airport - Goose Bay,Aeroflot Russian Intl A/l
11827,Gore Bay Manitoulin Airport - Gore Bay,2022-06-13,17:48,20:19,2022-06-13,London Airport - London,Xiamen Airlines
11828,Fort Nelson Airport - Fort Nelson,2022-06-19,09:27,11:09,2022-06-19,La Ronge Airport - La Ronge,Thai AirAsia X
11829,St Leonard Airport - St Leonard,2022-06-07,09:44,13:27,2022-06-07,London Airport - London,LAN Airlines
11830,Medicine Hat Regional Airport - Medicine Hat,2022-06-02,01:12,03:11,2022-06-02,Gore Bay Manitoulin Airport - Gore Bay,Hawaiian Airlines
11831,Medicine Hat Regional Airport - Medicine Hat,2022-06-24,17:22,23:39,2022-06-24,Lynn Lake Airport - Lynn Lake,Tianjin Airlines
11832,Beaver Creek Airport - Beaver Creek,2022-06-26,18:30,22:50,2022-06-26,London Airport - London,Thai Airways International
11833,Gore Bay Manitoulin Airport - Gore Bay,2022-06-27,23:41,01:02,2022-06-27,Mont Joli Airport - Mont-Joli,Polynesian Airlines
11834,Bonaventure Airport - Bonaventure,2022-06-06,03:33,09:00,2022-06-06,Mont Joli Airport - Mont-Joli,JALways
11835,Bonaventure Airport - Bonaventure,2022-06-24,16:15,19:04,2022-06-24,Downsview Airport - Toronto,American Airlines
11836,Swift Current Airport - Swift Current,2022-06-17,04:13,08:26,2022-06-17,London Airport - London,Austrian Airlines
11837,Fort Smith Airport - Fort Smith,2022-06-04,14:25,15:37,2022-06-04,Gore Bay Manitoulin Airport - Gore Bay,Flight West Airlines
11838,Northwest Regional Airport Terrace-Kitimat - Terrace,2022-06-28,12:11,17:07,2022-06-28,Fort Smith Airport - Fort Smith,Thai Airways International
11839,Bonaventure Airport - Bonaventure,2022-06-10,06:40,13:10,2022-06-10,St Leonard Airport - St Leonard,Scoot
11840,Northwest Regional Airport Terrace-Kitimat - Terrace,2022-06-24,23:07,00:50,2022-06-24,St. John's International Airport - St. John's,China Eastern Airlines
11841,Mont Joli Airport - Mont-Joli,2022-06-23,23:37,05:57,2022-06-23,Northwest Regional Airport Terrace-Kitimat - Terrace,Middle East Airlines
11842,St. John's International Airport - St. John's,2022-06-12,20:56,00:18,2022-06-12,Swift Current Airport - Swift Current,Pan American
